40,6,0,1
108,21,0,1
101,72,0,1
30,24,0,1
35,4,0,1
74,28,0,1
27,34,0,1
2,69,0,1
76,11,1,1
111,39,1,1
97,23,1,1
26,6,1,1
60,34,1,1
31,7,1,1
51,55,1,1
24,37,1,1
69,27,2,1
117,75,2,1
29,3,2,1
91,21,2,1
76,2,2,1
12,0,2,1
39,79,2,1
20,29,2,1
27,22,3,1
102,28,3,1
70,22,3,1
58,29,3,1
21,14,3,1
84,14,3,1
68,118,3,1
1,113,3,1
11,0,4,1
73,18,4,1
117,18,4,1
82,73,4,1
104,16,4,1
61,34,4,1
91,96,4,1
6,24,4,1
40,28,5,1
98,22,5,1
36,34,5,1
68,28,5,1
48,16,5,1
71,7,5,1
43,110,5,1
39,76,5,1
34,21,6,1
100,15,6,1
67,62,6,1
79,17,6,1
24,7,6,1
63,0,6,1
31,43,6,1
9,60,6,1
67,26,7,1
22,14,7,1
53,52,7,1
39,35,7,1
42,13,7,1
70,25,7,1
24,39,7,1
10,99,7,1
103,47,8,1
74,4,8,1
85,24,8,1
100,77,8,1
88,38,8,1
53,27,8,1
101,119,8,1
33,52,8,1
84,51,9,1
56,24,9,1
96,4,9,1
26,21,9,1
116,36,9,1
111,71,9,1
88,99,9,1
0,29,9,1
33,5,10,1
34,1,10,1
59,52,10,1
89,52,10,1
32,18,10,1
88,4,10,1
55,112,10,1
29,36,10,1
114,18,11,1
38,30,11,1
53,44,11,1
105,25,11,1
79,73,11,1
100,18,11,1
26,38,11,1
90,95,11,1
79,44,12,1
86,66,12,1
117,94,12,1
25,6,12,1
90,63,12,1
75,52,12,1
79,82,12,1
16,92,12,1
54,37,13,1
28,26,13,1
36,17,13,1
25,12,13,1
115,0,13,1
53,52,13,1
25,68,13,1
49,59,13,1
61,12,14,1
111,32,14,1
56,22,14,1
34,12,14,1
33,20,14,1
13,0,14,1
2,57,14,1
38,110,14,1
101,23,15,1
49,26,15,1
25,10,15,1
87,35,15,1
53,26,15,1
116,16,15,1
32,86,15,1
32,41,15,1
50,26,16,1
108,79,16,1
113,1,16,1
90,43,16,1
40,18,16,1
116,81,16,1
73,75,16,1
21,27,16,1
80,73,17,1
114,18,17,1
103,22,17,1
87,23,17,1
28,22,17,1
76,67,17,1
0,30,17,1
22,27,17,1
39,38,18,1
107,77,18,1
65,15,18,1
58,8,18,1
112,46,18,1
99,8,18,1
8,48,18,1
2,26,18,1
112,33,19,1
45,0,19,1
34,7,19,1
72,70,19,1
74,50,19,1
95,41,19,1
44,48,19,1
55,93,19,1
88,38,20,1
28,8,20,1
12,0,20,1
102,49,20,1
118,66,20,1
37,34,20,1
19,64,20,1
30,62,20,1
82,39,21,1
47,31,21,1
104,58,21,1
78,27,21,1
37,24,21,1
