t-1,t,Source Node,Destination Node,Batch size
-1,0,80,72,1
-1,0,118,5,1
-1,0,7,107,1
-1,0,72,80,1
-1,0,35,76,1
-1,0,90,72,1
-1,0,74,78,1
-1,0,81,58,1
0,1,0,117,1
0,1,118,103,1
0,1,77,110,1
0,1,66,87,1
0,1,9,78,1
0,1,27,108,1
0,1,34,6,1
0,1,48,76,1
1,2,94,78,1
1,2,54,71,1
1,2,13,113,1
1,2,81,27,1
1,2,41,23,1
1,2,119,38,1
1,2,8,44,1
1,2,43,31,1
2,3,49,34,1
2,3,96,119,1
2,3,30,16,1
2,3,91,10,1
2,3,23,3,1
2,3,69,8,1
2,3,31,51,1
2,3,23,59,1
3,4,18,38,1
3,4,96,4,1
3,4,56,10,1
3,4,24,76,1
3,4,98,42,1
3,4,0,76,1
3,4,56,100,1
3,4,117,16,1
4,5,66,117,1
4,5,5,0,1
4,5,110,70,1
4,5,42,52,1
4,5,13,113,1
4,5,110,26,1
4,5,100,61,1
4,5,5,58,1
5,6,0,46,1
5,6,101,30,1
5,6,7,107,1
5,6,87,33,1
5,6,119,96,1
5,6,0,76,1
5,6,118,26,1
5,6,66,62,1
6,7,18,7,1
6,7,77,107,1
6,7,22,103,1
6,7,107,45,1
6,7,59,32,1
6,7,29,48,1
6,7,51,59,1
6,7,76,113,1
7,8,96,89,1
7,8,105,114,1
7,8,59,97,1
7,8,27,60,1
7,8,10,91,1
7,8,79,72,1
7,8,76,115,1
7,8,73,119,1
8,9,45,101,1
8,9,5,118,1
8,9,89,70,1
8,9,4,93,1
8,9,26,106,1
8,9,74,23,1
8,9,91,36,1
8,9,34,19,1
9,10,82,3,1
9,10,49,57,1
9,10,28,78,1
9,10,19,119,1
9,10,103,86,1
9,10,20,78,1
9,10,118,77,1
9,10,114,105,1
10,11,105,87,1
10,11,13,113,1
10,11,72,6,1
10,11,108,60,1
10,11,12,36,1
10,11,12,41,1
10,11,118,77,1
10,11,68,41,1
11,12,16,67,1
11,12,87,19,1
11,12,32,56,1
11,12,34,19,1
11,12,110,70,1
11,12,90,72,1
11,12,15,24,1
11,12,73,119,1
12,13,1,43,1
12,13,78,112,1
12,13,101,45,1
12,13,28,114,1
12,13,96,43,1
12,13,74,78,1
12,13,67,62,1
12,13,23,31,1
13,14,113,76,1
13,14,55,56,1
13,14,118,103,1
13,14,100,93,1
13,14,53,23,1
13,14,77,118,1
13,14,23,53,1
13,14,66,36,1
14,15,114,57,1
14,15,115,76,1
14,15,31,23,1
14,15,69,97,1
14,15,107,71,1
14,15,47,50,1
14,15,5,106,1
14,15,62,66,1
15,16,5,58,1
15,16,75,21,1
15,16,118,24,1
15,16,71,54,1
15,16,35,0,1
15,16,107,58,1
15,16,107,60,1
15,16,103,60,1
16,17,23,68,1
16,17,26,35,1
16,17,114,105,1
16,17,92,56,1
16,17,35,0,1
16,17,114,28,1
16,17,114,105,1
16,17,7,18,1
17,18,36,1,1
17,18,67,62,1
17,18,56,32,1
17,18,51,12,1
17,18,118,5,1
17,18,34,20,1
17,18,37,25,1
17,18,91,36,1
18,19,6,115,1
18,19,8,24,1
18,19,76,47,1
18,19,66,4,1
18,19,42,52,1
18,19,2,4,1
18,19,5,0,1
18,19,16,67,1
19,20,45,89,1
19,20,8,24,1
19,20,14,7,1
19,20,96,48,1
19,20,31,51,1
19,20,61,100,1
19,20,87,66,1
19,20,100,61,1
20,21,66,87,1
20,21,75,6,1
20,21,77,110,1
20,21,69,31,1
20,21,114,28,1
20,21,62,81,1
20,21,4,96,1
20,21,48,96,1
21,22,45,101,1
21,22,56,32,1
21,22,90,6,1
21,22,87,33,1
21,22,46,0,1
21,22,56,61,1
21,22,35,26,1
21,22,93,86,1
22,23,87,19,1
22,23,66,117,1
22,23,74,80,1
22,23,114,15,1
22,23,71,49,1
22,23,119,96,1
22,23,5,58,1
22,23,94,78,1
23,24,45,89,1
23,24,17,48,1
23,24,24,15,1
23,24,56,55,1
23,24,12,41,1
23,24,26,58,1
23,24,90,6,1
23,24,19,119,1
24,25,16,117,1
24,25,108,27,1
24,25,112,24,1
24,25,31,69,1
24,25,6,72,1
24,25,47,50,1
24,25,53,23,1
24,25,70,89,1
25,26,7,18,1
25,26,116,19,1
25,26,80,72,1
25,26,91,10,1
25,26,4,43,1
25,26,23,63,1
25,26,44,91,1
25,26,45,101,1
26,27,23,41,1
26,27,117,0,1
26,27,77,110,1
26,27,113,13,1
26,27,24,118,1
26,27,63,41,1
26,27,1,63,1
26,27,100,93,1
27,28,38,72,1
27,28,80,72,1
27,28,59,23,1
27,28,74,92,1
27,28,61,66,1
27,28,38,83,1
27,28,12,115,1
27,28,70,89,1
28,29,57,49,1
28,29,43,4,1
28,29,74,9,1
28,29,26,113,1
28,29,60,110,1
28,29,87,17,1
28,29,45,107,1
28,29,87,19,1
29,30,75,21,1
29,30,78,20,1
29,30,43,31,1
29,30,92,36,1
29,30,1,63,1
29,30,87,17,1
29,30,63,1,1
29,30,63,23,1
30,31,96,89,1
30,31,42,98,1
30,31,14,7,1
30,31,41,12,1
30,31,10,97,1
30,31,72,80,1
30,31,50,14,1
30,31,36,27,1
31,32,27,108,1
31,32,118,13,1
31,32,73,119,1
31,32,24,118,1
31,32,19,106,1
31,32,38,18,1
31,32,97,10,1
31,32,91,109,1
32,33,76,24,1
32,33,34,19,1
32,33,63,41,1
32,33,101,30,1
32,33,58,30,1
32,33,56,92,1
32,33,9,78,1
32,33,112,21,1
33,34,64,118,1
33,34,5,58,1
33,34,100,56,1
33,34,81,87,1
33,34,77,107,1
33,34,15,114,1
33,34,13,77,1
33,34,103,22,1
34,35,118,103,1
34,35,23,53,1
