t-1,t,Source Node,Destination Node,Batch size
-1,0,5,109,1
-1,0,35,8,1
-1,0,71,51,1
-1,0,33,90,1
-1,0,52,45,1
-1,0,115,117,1
-1,0,7,97,1
-1,0,60,67,1
0,1,50,83,1
0,1,11,53,1
0,1,105,47,1
0,1,80,24,1
0,1,35,85,1
0,1,105,37,1
0,1,62,38,1
0,1,37,30,1
1,2,102,53,1
1,2,60,67,1
1,2,45,52,1
1,2,105,37,1
1,2,92,2,1
1,2,112,11,1
1,2,20,98,1
1,2,87,34,1
2,3,89,19,1
2,3,111,3,1
2,3,11,53,1
2,3,3,111,1
2,3,27,117,1
2,3,46,118,1
2,3,93,49,1
2,3,96,31,1
3,4,62,38,1
3,4,29,6,1
3,4,26,88,1
3,4,107,56,1
3,4,45,33,1
3,4,118,26,1
3,4,30,37,1
3,4,37,26,1
4,5,85,77,1
4,5,11,112,1
4,5,17,11,1
4,5,105,15,1
4,5,42,92,1
4,5,106,56,1
4,5,91,14,1
4,5,38,82,1
5,6,50,0,1
5,6,77,102,1
5,6,79,49,1
5,6,102,77,1
5,6,98,37,1
5,6,45,33,1
5,6,92,2,1
5,6,62,38,1
6,7,36,35,1
6,7,24,12,1
6,7,23,55,1
6,7,34,87,1
6,7,91,14,1
6,7,88,26,1
6,7,58,51,1
6,7,98,37,1
7,8,118,83,1
7,8,36,106,1
7,8,98,37,1
7,8,108,7,1
7,8,90,33,1
7,8,81,59,1
7,8,31,85,1
7,8,29,6,1
8,9,49,46,1
8,9,83,50,1
8,9,2,49,1
8,9,50,62,1
8,9,2,92,1
8,9,17,11,1
8,9,18,24,1
8,9,62,96,1
9,10,56,107,1
9,10,77,85,1
9,10,71,51,1
9,10,24,12,1
9,10,87,34,1
9,10,91,19,1
9,10,113,91,1
9,10,43,23,1
10,11,34,85,1
10,11,106,36,1
10,11,7,41,1
10,11,60,19,1
10,11,60,97,1
10,11,92,2,1
10,11,96,38,1
10,11,53,11,1
11,12,98,67,1
11,12,105,59,1
11,12,104,21,1
11,12,18,33,1
11,12,95,12,1
11,12,59,28,1
11,12,38,62,1
