t-1,t,Source Node,Destination Node,Batch size
-1,0,11,0,1
-1,0,66,23,1
-1,0,33,23,1
-1,0,81,28,1
-1,0,110,79,1
-1,0,113,110,1
-1,0,25,47,1
-1,0,7,70,1
0,1,65,6,1
0,1,55,30,1
0,1,83,64,1
0,1,95,14,1
0,1,27,3,1
0,1,65,62,1
0,1,15,22,1
0,1,28,109,1
1,2,112,87,1
1,2,61,14,1
1,2,105,26,1
1,2,41,22,1
1,2,107,23,1
1,2,104,43,1
1,2,1,110,1
1,2,11,80,1
2,3,115,54,1
2,3,62,2,1
2,3,50,24,1
2,3,68,64,1
2,3,75,10,1
2,3,102,37,1
2,3,24,63,1
2,3,10,51,1
3,4,46,24,1
3,4,36,3,1
3,4,86,34,1
3,4,77,19,1
3,4,72,34,1
3,4,111,65,1
3,4,30,53,1
3,4,24,39,1
4,5,52,22,1
4,5,28,21,1
4,5,111,75,1
4,5,77,19,1
4,5,119,22,1
4,5,73,47,1
4,5,25,38,1
4,5,40,86,1
5,6,30,25,1
5,6,60,1,1
5,6,34,14,1
5,6,97,40,1
5,6,50,25,1
5,6,104,12,1
5,6,53,76,1
5,6,5,51,1
6,7,112,41,1
6,7,114,59,1
6,7,93,14,1
6,7,74,6,1
6,7,48,1,1
6,7,101,32,1
6,7,17,65,1
6,7,18,58,1
7,8,37,21,1
7,8,31,0,1
7,8,89,21,1
7,8,90,4,1
7,8,101,51,1
7,8,79,4,1
7,8,31,33,1
7,8,2,24,1
8,9,87,32,1
8,9,40,7,1
8,9,43,37,1
8,9,94,18,1
8,9,36,12,1
8,9,41,11,1
8,9,16,28,1
8,9,7,43,1
9,10,39,26,1
9,10,38,14,1
9,10,88,29,1
9,10,38,9,1
9,10,104,9,1
9,10,38,9,1
9,10,38,90,1
9,10,5,82,1
10,11,89,82,1
10,11,33,21,1
10,11,55,40,1
10,11,66,15,1
10,11,97,56,1
10,11,87,39,1
10,11,24,50,1
10,11,7,51,1
11,12,30,3,1
11,12,83,56,1
11,12,108,28,1
11,12,31,15,1
11,12,94,93,1
11,12,58,37,1
11,12,27,66,1
11,12,23,103,1
12,13,117,62,1
12,13,81,15,1
12,13,118,52,1
12,13,94,2,1
12,13,38,34,1
12,13,21,11,1
12,13,57,69,1
12,13,11,21,1
13,14,118,0,1
13,14,43,21,1
13,14,66,27,1
13,14,100,33,1
13,14,52,29,1
13,14,117,78,1
13,14,1,100,1
13,14,20,27,1
14,15,101,48,1
14,15,94,63,1
14,15,49,14,1
14,15,81,37,1
14,15,56,23,1
14,15,38,19,1
14,15,31,62,1
14,15,14,95,1
15,16,25,9,1
15,16,52,46,1
15,16,76,53,1
15,16,78,63,1
15,16,53,39,1
15,16,23,9,1
15,16,19,55,1
15,16,23,42,1
16,17,96,63,1
16,17,119,41,1
16,17,43,7,1
16,17,85,56,1
16,17,64,21,1
16,17,86,65,1
16,17,9,33,1
16,17,24,28,1
17,18,90,49,1
17,18,30,0,1
17,18,49,15,1
17,18,71,21,1
17,18,41,24,1
17,18,81,20,1
17,18,0,25,1
17,18,0,35,1
18,19,119,55,1
18,19,101,59,1
18,19,106,41,1
18,19,77,48,1
18,19,56,43,1
18,19,113,38,1
18,19,42,101,1
18,19,43,68,1
19,20,62,44,1
