t-1,t,Source Node,Destination Node,Batch size
-1,0,48,5,1
-1,0,63,33,1
-1,0,82,25,1
-1,0,52,22,1
-1,0,69,13,1
-1,0,98,36,1
-1,0,36,51,1
-1,0,10,65,1
0,1,33,32,1
0,1,25,15,1
0,1,118,85,1
0,1,77,3,1
0,1,60,48,1
0,1,72,2,1
0,1,61,82,1
0,1,22,108,1
1,2,79,52,1
1,2,99,80,1
1,2,93,65,1
1,2,39,5,1
1,2,46,37,1
1,2,41,39,1
1,2,38,93,1
1,2,42,57,1
2,3,91,28,1
2,3,63,17,1
2,3,67,27,1
2,3,102,69,1
2,3,55,25,1
2,3,95,39,1
2,3,24,43,1
2,3,2,24,1
3,4,102,46,1
3,4,116,26,1
3,4,57,3,1
3,4,24,23,1
3,4,60,14,1
3,4,73,26,1
3,4,47,58,1
3,4,33,82,1
4,5,53,49,1
4,5,60,39,1
4,5,41,26,1
4,5,24,14,1
4,5,45,0,1
4,5,100,43,1
4,5,46,100,1
4,5,18,102,1
5,6,79,59,1
5,6,73,55,1
5,6,115,42,1
5,6,85,18,1
5,6,32,28,1
5,6,95,23,1
5,6,21,71,1
5,6,28,63,1
6,7,81,0,1
6,7,50,41,1
6,7,19,0,1
6,7,23,5,1
6,7,41,39,1
6,7,88,79,1
6,7,21,97,1
6,7,34,39,1
7,8,101,30,1
7,8,29,12,1
7,8,42,24,1
7,8,114,55,1
7,8,97,58,1
7,8,65,16,1
7,8,67,112,1
7,8,29,58,1
8,9,60,48,1
8,9,117,50,1
8,9,69,16,1
8,9,88,25,1
8,9,114,87,1
8,9,102,18,1
8,9,21,83,1
8,9,78,82,1
9,10,39,34,1
9,10,42,21,1
9,10,80,45,1
9,10,47,17,1
9,10,102,69,1
9,10,56,16,1
9,10,18,51,1
9,10,84,108,1
10,11,109,33,1
10,11,63,42,1
10,11,45,28,1
10,11,43,34,1
10,11,68,51,1
10,11,106,14,1
10,11,9,32,1
10,11,29,99,1
11,12,71,8,1
11,12,49,19,1
11,12,35,21,1
11,12,87,0,1
11,12,65,43,1
11,12,27,6,1
11,12,5,88,1
11,12,27,69,1
12,13,91,21,1
12,13,53,36,1
12,13,49,40,1
12,13,85,70,1
12,13,100,34,1
12,13,113,21,1
12,13,41,99,1
12,13,46,77,1
13,14,104,16,1
13,14,52,34,1
13,14,62,2,1
13,14,61,23,1
13,14,74,47,1
13,14,78,73,1
13,14,57,89,1
13,14,24,28,1
14,15,96,36,1
14,15,100,82,1
14,15,69,37,1
14,15,97,13,1
14,15,50,42,1
14,15,111,59,1
14,15,18,102,1
14,15,41,43,1
15,16,114,68,1
15,16,119,69,1
15,16,116,56,1
15,16,63,42,1
15,16,21,17,1
15,16,112,69,1
15,16,24,27,1
15,16,13,30,1
16,17,39,22,1
16,17,59,21,1
16,17,22,8,1
16,17,40,5,1
16,17,114,25,1
16,17,22,4,1
16,17,27,116,1
16,17,37,41,1
17,18,49,21,1
17,18,62,23,1
17,18,112,9,1
17,18,98,15,1
17,18,86,50,1
17,18,26,22,1
17,18,39,116,1
17,18,42,61,1
18,19,49,17,1
18,19,57,43,1
18,19,116,47,1
18,19,43,6,1
18,19,26,21,1
18,19,89,25,1
18,19,35,78,1
18,19,3,117,1
19,20,29,28,1
19,20,81,44,1
19,20,53,14,1
19,20,58,24,1
19,20,75,30,1
19,20,58,2,1
19,20,6,103,1
19,20,45,116,1
20,21,77,64,1
20,21,27,26,1
20,21,43,35,1
20,21,118,25,1
20,21,32,7,1
20,21,28,3,1
20,21,0,39,1
20,21,1,24,1
21,22,50,0,1
21,22,77,46,1
21,22,43,35,1
21,22,89,57,1
21,22,26,9,1
21,22,117,85,1
21,22,45,71,1
21,22,64,118,1
22,23,91,71,1
22,23,68,45,1
22,23,91,83,1
22,23,52,50,1
22,23,24,2,1
22,23,108,83,1
22,23,0,114,1
22,23,9,59,1
23,24,110,26,1
23,24,51,46,1
23,24,115,21,1
23,24,48,35,1
23,24,111,105,1
23,24,93,64,1
23,24,105,111,1
23,24,10,48,1
24,25,91,83,1
24,25,114,42,1
24,25,61,56,1
24,25,109,91,1
24,25,90,15,1
24,25,29,5,1
24,25,4,86,1
24,25,19,99,1
25,26,71,8,1
25,26,30,13,1
25,26,84,79,1
25,26,3,0,1
25,26,80,26,1
25,26,98,13,1
25,26,42,113,1
25,26,24,68,1
26,27,44,11,1
26,27,75,16,1
26,27,98,21,1
26,27,31,18,1
26,27,51,1,1
26,27,82,50,1
26,27,26,68,1
26,27,32,40,1
27,28,118,114,1
27,28,82,50,1
27,28,31,7,1
27,28,104,64,1
27,28,80,79,1
27,28,62,32,1
27,28,55,70,1
27,28,0,42,1
28,29,86,72,1
28,29,44,41,1
28,29,99,0,1
28,29,63,37,1
28,29,62,37,1
28,29,54,32,1
28,29,62,85,1
28,29,37,41,1
29,30,30,4,1
29,30,62,50,1
29,30,41,15,1
29,30,48,36,1
29,30,100,64,1
29,30,52,30,1
29,30,12,23,1
29,30,21,102,1
30,31,34,3,1
