Source,Target
5748,39570
5748,54028
5748,51340
5748,52010
39570,57226
39570,53226
19484,38171
19484,52716
19484,52778
38171,52335
38171,55007
26672,52093
26672,53139
26672,37518
26672,52195
26672,44794
26672,52044
26672,47491
26672,33321
52093,46342
52093,32676
52093,55802
52093,39417
9867,53602
9867,40208
53602,34220
53602,36490
53602,51077
53602,54332
53602,51086
16795,47941
16795,53517
47941,55605
47941,56332
4347,52438
4347,41132
4347,33665
4347,53527
52438,38755
52438,33796
52438,42442
52438,37759
52438,45097
52438,31690
52438,49506
52438,55797
52438,45630
52438,50870
52438,37123
14801,53478
14801,49463
53478,48637
53478,36369
53478,55647
25539,53828
25539,31282
53828,38878
53828,38702
53828,47852
53828,37625
53828,55359
53828,48667
4623,38688
4623,53683
4623,52571
38688,55329
7997,51596
7997,45906
7997,52743
7997,52062
51596,54051
51596,52787
5160,43994
5160,53854
43994,55017
21774,52773
21774,34633
21774,53017
21774,48838
21774,52076
21774,53278
21774,46127
21774,53157
21774,52561
21774,52056
21774,42735
21774,45918
21774,53613
21774,53515
21774,54008
21774,53034
21774,43792
21774,53324
21774,35260
21774,53820
52773,38714
52773,30953
52773,51374
52773,36145
52773,37576
52773,35796
52773,38520
52773,34817
52773,48074
52773,40872
52773,36315
52773,56196
52773,48162
52773,49614
52773,55783
52773,43403
52773,49622
52773,38120
52773,29261
52773,56480
52773,40256
52773,44104
52773,39829
52773,49686
20552,44906
20552,53236
44906,55660
44906,51901
7575,38270
7575,53019
7575,52852
38270,53972
20509,53251
20509,30024
20509,53455
53251,51379
53251,41565
53251,36296
53251,43518
53251,44024
53251,57028
53251,35446
53251,37729
53251,48045
53251,40049
15102,42754
15102,53766
42754,57187
42754,53576
4565,28815
4565,52608
4565,54092
4565,44245
4565,52441
4565,30909
4565,48712
28815,53745
12910,53045
12910,43430
12910,51975
12910,48503
12910,52355
12910,51909
53045,45754
53045,57082
2578,29227
2578,44382
2578,50604
2578,52871
2578,52431
29227,57272
19543,46161
19543,53675
19543,33269
19543,52681
19543,51151
19543,37601
19543,51919
46161,54873
14065,52571
14065,41254
52571,49368
52571,37795
52571,44367
52571,38888
52571,32203
52571,54471
52571,31179
52571,51486
6692,53694
6692,31450
53694,37687
53694,37980
53694,50728
53694,43174
53694,55783
53694,55438
26645,40147
26645,53826
40147,57548
26667,52416
26667,41351
26667,30428
52416,33441
52416,44099
52416,45151
52416,42420
52416,47792
52416,51604
52416,28908
52416,43219
52416,47621
52416,30026
52416,39700
52416,51508
52416,49799
52416,40486
52416,32387
52416,33918
52416,29797
52416,32081
52416,33071
52416,47118
52416,30134
52416,32052
52416,48713
52416,48874
52416,29353
52416,31554
52416,54250
52416,55248
52416,55189
52416,35746
52416,49283
52416,35119
52416,41171
52416,38081
52416,36554
52416,50649
52416,57333
52416,54313
52416,44516
52416,35608
52416,33963
52416,57210
52416,42110
52416,44066
52416,57538
52416,40919
4166,33625
4166,32500
4166,53601
4166,32246
4166,38832
4166,52315
4166,53135
4166,38254
4166,54119
