Source,Target
26065,39097
26065,52947
26065,45022
26065,53737
26065,39586
39097,56233
17775,48450
17775,51873
17775,52486
48450,56014
48450,53553
48450,55087
48450,56143
8046,42157
8046,53430
8046,52773
8046,52474
8046,53293
42157,53504
42157,54343
42157,54016
42157,53890
6897,46416
6897,53775
6897,40856
6897,41681
46416,53701
46416,55229
46416,52176
46416,53410
46416,55150
46416,53331
46416,54026
46416,53619
8886,52401
8886,39941
52401,42134
52401,38131
52401,43653
52401,47324
52401,46001
52401,34102
52401,31105
52401,55260
52401,40551
52401,47680
52401,36946
52401,44941
52401,30583
52401,36827
52401,42804
19400,48389
19400,52873
48389,52424
48389,53442
24776,52350
24776,29086
24776,52128
24776,53934
24776,53740
24776,52337
24776,52500
52350,35499
52350,50655
52350,44802
52350,33646
52350,44881
52350,39866
52350,46705
52350,42842
52350,49782
52350,31528
52350,45862
52350,42697
52350,47944
52350,44076
52350,51574
52350,41015
52350,50397
52350,46620
52350,34533
52350,55850
52350,32712
52350,38291
52350,30467
52350,51110
52350,45022
52350,47144
52350,50488
52350,44339
52350,40652
52350,49736
52350,37259
52350,38873
52350,49264
52350,31179
52350,36240
52350,51278
14599,53532
14599,49769
14599,31256
14599,53188
14599,53315
53532,29421
53532,49214
53532,30655
53532,48139
53532,36377
53532,30693
53532,35732
53532,35446
53532,34612
53532,39509
53532,41594
53532,33329
53532,34212
53532,30397
53532,31898
53532,41038
53532,43972
53532,55718
53532,54951
53532,29648
53532,55744
53532,37049
53532,56530
53532,47410
53532,46011
53532,49784
53532,56381
53532,57454
53532,34491
53532,54615
53532,50806
53532,39962
53532,32125
53532,43406
53532,36720
53532,54498
53532,40366
11820,52992
11820,37694
52992,35602
52992,40711
52992,46795
52992,47095
52992,50902
52992,41278
52992,42751
52992,37622
52992,37257
52992,49205
52992,46559
52992,30115
52992,49416
52992,55839
52992,41088
52992,31616
52992,44704
52992,45950
52992,33096
52992,46512
52992,42847
52992,55905
52992,40925
52992,50397
13721,52435
13721,46625
52435,30030
52435,28865
52435,29346
52435,30301
52435,38360
52435,43247
52435,55678
52435,51766
52435,29795
52435,46636
1630,53011
1630,42599
53011,49690
53011,48343
53011,55451
9911,46990
9911,54038
46990,52319
8922,53436
8922,46634
8922,52104
8922,50782
8922,53946
53436,36483
53436,46374
53436,43806
53436,30293
53436,45838
53436,39237
53436,48109
53436,45149
53436,39914
53436,48422
53436,48668
53436,54826
53436,43785
53436,47011
53436,42039
53436,44212
53436,43239
53436,42775
15342,43263
15342,53021
43263,55959
9237,28966
9237,53576
28966,56701
28966,52932
493,54065
493,34614
493,52645
54065,31090
54065,43152
54065,31846
54065,40159
54065,35155
54065,51417
54065,56517
54065,49602
54065,44074
54065,33628
54065,38921
54065,33191
54065,49073
54065,32190
11548,53319
11548,53975
11548,52515
11548,53331
11548,28812
11548,46510
53319,35982
53319,36070
53319,43694
53319,49737
53319,50279
53319,37578
53319,33562
53319,49109
53319,54240
53319,34577
53319,47161
53319,47270
53319,55939
53319,30089
53319,35066
53319,38755
53319,49106
53319,57096
53319,56271
53319,31724
21205,39001
21205,52536
21205,52268
21205,53632
39001,55703
23986,52804
23986,39647
23986,53053
52804,37106
52804,37788
52804,55936
52804,42581
16290,30737
16290,52408
16290,52167
16290,30804
16290,51223
16290,41872
16290,52302
16290,53068
16290,52325
16290,52022
16290,35514
16290,53596
16290,53937
16290,53733
16290,53976
16290,52153
16290,53002
30737,52661
30737,54787
30737,53531
30737,53545
30737,55770
30737,53294
