node_id,Budget_share,degree,capacity
0,0.0,3,30.0
1,0.0,3,30.0
2,0.0,2,35.0
3,0.0,5,30.0
4,0.0,2,131.0
5,0.0,1,30.0
6,0.0,2,32.0
7,0.0,2,30.0
8,0.0,2,90.0
9,0.0,2,30.0
10,0.0,2,30.0
11,0.0,3,46.0
12,0.0,2,30.0
13,0.0,11,1080.0
14,0.0,1,30.0
15,0.0,2,37.0
16,0.0,4,72.0
17,0.0,10,2639.0
18,0.0,8,891.0
19,0.0,2,34.0
20,0.0,4,30.0
21,0.0,7,488.0
22,0.0,4,30.0
23,0.0,3,30.0
24,0.0,4,1910.0
25,0.0,9,217.0
26,0.0,3,30.0
27,0.0,3,30.0
28,0.0,3,64.0
29,0.0,2,30.0
30,0.0,4,2273.0
31,0.00021904022584675952,2,41.0
32,0.0,4,30.0
33,0.0,3,54.0
34,0.0,11,2709.0
35,0.0,4,50.0
36,0.0,2,30.0
37,0.0,4,252.0
38,0.0,3,73.0
39,0.0,4,296.0
40,0.0,2,38.0
41,0.0,2,30.0
42,0.0,3,32.0
43,0.0,2,30.0
44,0.0,14,6148.0
45,0.0,5,205.0
46,0.0,5,460.0
47,0.0,6,1296.0
48,0.0,6,45.0
49,0.0,13,3990.0
50,0.0,2,30.0
51,0.0,2,30.0
52,0.0,4,186.0
53,0.0,2,53.0
54,13.7606606489883,3,468.0
55,0.0,2,30.0
56,0.0,2,171.0
57,0.0,2,30.0
58,0.0,4,100.0
59,0.0,6,177.0
60,0.0,5,218.0
61,0.0,2,76.0
62,0.0,5,267.0
63,0.0,3,76.0
64,0.0,3,219.0
65,0.0,3,30.0
66,0.0,9,152.0
67,0.0,3,43.0
68,0.0,5,140.0
69,0.0,4,30.0
70,0.0,2,30.0
71,0.0,4,207.0
72,0.0,4,61.0
73,0.0,2,30.0
74,0.0,2,30.0
75,0.0,4,148.0
76,0.029327664448200567,2,57.0
77,0.0,2,46.0
78,0.0,5,1020.0
79,0.0,2,199.0
80,0.0,6,39.0
81,0.0,2,30.0
82,0.0,2,149.0
83,0.0,3,30.0
84,0.0,12,856.0
85,0.0,2,52.0
86,0.0,7,100.0
87,0.0,4,59.0
88,0.0,2,30.0
89,0.0,2,30.0
90,0.0,2,86.0
91,0.0,2,30.0
92,0.0,3,30.0
93,0.0,4,30.0
94,0.0,2,30.0
95,0.0,2,30.0
96,0.0,3,30.0
97,0.0,2,40.0
98,0.0,5,199.0
99,0.0,4,30.0
100,0.0,2,58.0
101,0.0,7,793.0
102,0.0,28,2719.0
103,0.0,3,599.0
104,0.0,2,200.0
105,0.0,3,80.0
106,0.0,2,776.0
107,0.0,2,30.0
108,0.0,2,93.0
109,0.0,2,37.0
110,0.0,2,30.0
111,0.0,2,30.0
112,0.0,3,30.0
113,0.0,3,30.0
114,0.0,3,56.0
115,0.0,4,266.0
116,0.0,4,61.0
117,0.0021170206935635376,3,153.0
118,0.0,3,61.0
119,0.0,4,2165.0
120,0.0,7,392.0
121,0.0,2,30.0
122,0.0,2,101.0
123,0.0,4,44.0
124,0.0,3,30.0
