Source,Target
470,920
470,679
920,561
920,569
920,717
920,1018
315,632
315,940
315,920
632,1016
383,946
383,774
383,609
383,894
946,743
946,624
946,956
946,1004
946,523
946,756
204,731
204,946
204,575
731,900
731,950
731,988
318,574
318,926
574,1025
313,951
313,671
951,604
951,575
951,697
951,554
951,812
951,844
92,932
92,896
932,607
932,764
932,704
932,670
932,563
932,803
932,970
932,1011
932,618
932,839
932,647
932,522
932,897
932,749
163,875
163,953
875,913
312,861
312,939
861,1029
359,541
359,944
359,917
541,904
541,1012
54,919
54,733
919,808
919,691
919,819
919,599
919,1010
919,595
34,948
34,917
34,924
34,863
34,884
948,578
948,668
948,706
948,667
948,772
948,842
948,518
948,846
948,1019
948,567
948,615
948,760
469,918
469,892
469,925
469,904
918,856
918,695
918,961
918,730
0,902
0,792
0,686
902,751
902,891
902,759
902,661
902,757
902,779
902,653
902,730
902,816
902,617
902,672
902,770
902,803
902,835
902,899
902,897
902,656
902,637
902,846
902,859
902,988
902,735
902,738
902,775
902,682
902,718
902,677
902,556
902,764
902,970
902,800
902,871
902,565
902,781
22,692
22,902
22,900
22,954
692,1008
283,563
283,901
563,1014
462,508
462,909
462,702
462,555
508,901
79,924
79,775
924,571
924,673
924,694
924,630
924,635
924,788
924,989
924,1008
164,901
164,656
901,597
901,756
901,623
901,636
901,826
901,503
901,615
901,825
901,840
901,561
901,697
901,803
901,759
901,834
901,727
901,956
901,755
901,651
901,1022
901,718
901,617
901,642
901,808
901,891
290,942
290,878
290,684
942,531
942,678
942,891
942,854
942,882
942,792
942,623
942,1028
342,651
342,937
342,932
342,690
342,515
342,905
342,808
342,839
651,926
651,1029
255,914
255,855
914,670
914,858
914,625
914,800
914,638
914,658
417,633
417,936
633,961
111,949
111,781
949,840
949,601
949,642
949,606
949,734
949,854
949,865
949,584
949,989
949,529
949,1018
949,518
949,839
949,625
949,775
949,994
949,519
949,761
949,753
949,756
328,942
328,911
328,764
328,629
437,934
437,900
437,914
437,909
437,564
437,863
437,954
934,667
934,835
934,596
934,878
934,845
934,775
934,787
934,601
934,769
934,788
934,868
934,997
934,840
934,1014
934,612
934,859
934,771
934,756
934,854
934,546
934,513
353,528
353,929
353,920
353,539
353,926
528,929
195,676
195,910
195,686
676,1032
256,932
256,549
167,537
167,947
537,972
347,941
347,680
941,522
941,565
941,702
941,643
941,645
941,652
941,854
941,609
941,536
941,557
941,736
941,793
941,617
941,576
941,759
941,993
941,763
941,1025
941,986
941,829
941,668
941,791
941,553
941,1019
941,964
941,646
941,770
941,968
941,690
941,510
941,753
941,517
941,561
381,924
381,917
381,839
381,901
148,916
148,759
916,864
916,862
916,690
916,705
916,783
916,721
916,525
916,601
916,566
916,581
916,829
916,771
916,555
916,617
916,702
916,840
916,1010
916,624
916,592
916,989
916,523
916,503
916,972
916,569
916,975
916,963
916,750
916,961
916,977
916,698
916,1019
916,626
916,966
916,595
916,723
916,665
916,546
916,982
916,559
916,711
56,916
56,832
56,908
56,868
56,527
743,907
457,750
457,929
750,905
840,982
840,934
840,949
840,902
840,900
493,915
493,686
493,612
493,670
493,954
493,635
493,917
493,725
493,624
915,757
915,501
915,502
915,567
915,768
915,863
915,846
915,1031
915,854
915,975
915,545
915,687
915,815
915,506
915,974
915,755
915,556
915,1029
915,734
915,565
915,803
915,805
354,527
354,943
354,510
354,927
354,916
527,925
125,857
125,946
857,917
178,792
178,928
178,892
792,1021
792,917
59,895
59,922
895,1005
281,901
281,889
281,929
281,916
281,900
281,926
96,921
96,903
96,716
96,910
921,792
921,506
921,611
921,678
921,570
921,707
921,975
921,809
379,763
