0,133
1,50
2,46
3,61
4,52
5,48
6,31
7,60
8,21
9,52
10,21
11,53
12,70
13,62
14,53
15,32
16,38
17,54
18,50
19,56
20,40
21,121
22,125
23,132
24,102
25,91
26,107
27,125
28,97
29,99
30,85
31,96
32,75
33,90
34,85
35,85
36,63
37,88
38,91
39,63
40,83
41,72
42,42
43,78
44,91
45,60
46,77
47,60
48,60
49,65
50,51
51,59
52,60
53,52
54,61
55,47
56,36
57,64
58,54
59,57
60,33
61,58
62,46
63,42
64,52
65,38
66,45
67,45
68,37
69,30
70,51
71,46
72,30
73,45
74,41
75,64
76,51
77,67
78,32
79,54
80,51
81,23
82,35
83,44
84,58
85,49
86,32
87,53
88,34
89,47
90,28
91,28
92,39
93,37
94,47
95,49
96,44
97,49
98,54
99,37
100,34
101,29
102,34
103,31
104,28
105,29
106,39
107,41
108,37
109,15
110,31
111,44
112,31
113,37
114,39
115,28
116,37
117,26
118,39
119,38
120,29
121,26
122,41
123,37
124,25
125,46
126,25
127,26
128,22
129,25
130,25
131,38
132,31
133,47
134,29
135,26
136,20
137,26
138,24
139,30
140,29
141,25
142,29
143,39
144,30
145,38
146,27
147,36
148,37
149,40
150,34
151,21
152,34
153,24
154,26
155,26
156,34
157,20
158,27
159,34
160,26
161,35
162,31
163,32
164,23
165,18
166,20
167,22
168,35
169,32
170,33
171,29
172,24
173,35
174,15
175,33
176,21
177,27
178,31
179,36
180,27
181,19
182,26
183,16
184,29
185,24
186,18
187,15
188,17
189,24
190,34
191,19
192,23
193,14
194,25
195,25
196,25
197,23
198,32
199,29
200,25
201,35
202,25
203,21
204,30
205,17
206,19
207,29
208,15
209,29
210,23
211,20
212,37
213,23
214,27
215,28
216,19
217,16
218,15
219,23
220,21
221,20
222,22
223,22
224,25
225,16
226,23
227,24
228,25
229,26
230,11
231,19
232,22
233,24
234,25
235,16
236,16
237,23
238,24
239,36
240,21
241,26
242,17
243,31
244,24
245,25
246,20
247,17
248,19
249,28
250,20
251,15
252,24
253,16
254,18
255,22
256,39
257,19
258,17
259,18
260,19
261,20
262,19
263,22
264,19
265,22
266,28
267,24
268,20
269,30
270,23
271,20
272,26
273,19
274,38
275,15
276,20
277,19
278,21
279,27
280,22
281,16
282,25
283,23
284,26
285,30
286,22
287,23
288,27
289,15
290,23
291,27
292,25
293,25
294,28
295,17
296,29
297,26
298,17
299,13
300,15
301,30
302,22
303,19
304,18
305,20
306,17
307,33
308,21
309,19
310,17
311,18
312,25
313,24
314,16
315,20
316,26
317,23
318,16
319,17
320,24
321,22
322,17
323,15
324,20
325,25
326,17
327,16
328,16
329,18
330,23
331,14
332,19
333,15
334,14
335,21
336,26
337,20
338,12
339,24
340,23
341,18
342,13
343,22
344,14
345,19
346,18
347,20
348,16
349,19
350,16
351,17
352,17
353,21
354,24
355,27
356,9
357,17
358,17
359,20
360,16
361,26
362,19
363,17
364,18
365,20
366,16
367,16
368,16
369,15
370,8
371,8
372,26
373,27
374,14
375,18
376,19
377,22
378,14
379,14
380,19
381,20
382,13
383,23
384,15
385,23
386,18
387,24
388,13
